광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,고성군,1.52337581E8,5.2,1.302555E7,4.8
강원특별자치도,춘천시,1.52337581E8,5.2,3.2131E7,11.9
강원특별자치도,원주시,1.52337581E8,5.2,3.3246795E7,12.3
강원특별자치도,강릉시,1.52337581E8,5.2,3.4276227E7,12.7
강원특별자치도,동해시,1.52337581E8,5.2,1.1978135E7,4.4
강원특별자치도,태백시,1.52337581E8,5.2,5410010.0,2.0
강원특별자치도,속초시,1.52337581E8,5.2,2.4928741E7,9.2
강원특별자치도,삼척시,1.52337581E8,5.2,1.2083264E7,4.5
강원특별자치도,홍천군,1.52337581E8,5.2,1.7005264E7,6.3
강원특별자치도,횡성군,1.52337581E8,5.2,1.1170832E7,4.1
강원특별자치도,영월군,1.52337581E8,5.2,7253606.0,2.7
강원특별자치도,평창군,1.52337581E8,5.2,1.7722639E7,6.6
강원특별자치도,정선군,1.52337581E8,5.2,9888616.0,3.7
강원특별자치도,철원군,1.52337581E8,5.2,7175054.0,2.7
강원특별자치도,화천군,1.52337581E8,5.2,4660540.0,1.7
강원특별자치도,양구군,1.52337581E8,5.2,2895307.0,1.1
강원특별자치도,인제군,1.52337581E8,5.2,9306982.0,3.4
강원특별자치도,양양군,1.52337581E8,5.2,1.5825569E7,5.9
경기도,고양시 덕양구,6.30907447E8,21.4,6.49554E7,3.5
경기도,고양시 일산동구,6.30907447E8,21.4,6.0631972E7,3.3
경기도,고양시 일산서구,6.30907447E8,21.4,4.2286798E7,2.3
경기도,성남시 수정구,6.30907447E8,21.4,4.305181E7,2.3
경기도,성남시 중원구,6.30907447E8,21.4,2.6611188E7,1.4
경기도,성남시 분당구,6.30907447E8,21.4,8.6153988E7,4.6
경기도,수원시 장안구,6.30907447E8,21.4,3.8260284E7,2.1
경기도,수원시 권선구,6.30907447E8,21.4,4.3613777E7,2.4
경기도,수원시 팔달구,6.30907447E8,21.4,6.5328795E7,3.5
경기도,수원시 영통구,6.30907447E8,21.4,5.9147889E7,3.2
경기도,안산시 상록구,6.30907447E8,21.4,2.802625E7,1.5
경기도,의정부시,6.30907447E8,21.4,4.3586812E7,2.4
경기도,안산시 단원구,6.30907447E8,21.4,5.1764291E7,2.8
경기도,안양시 만안구,6.30907447E8,21.4,3.0287132E7,1.6
경기도,부천시,6.30907447E8,21.4,7.2149246E7,3.9
경기도,광명시,6.30907447E8,21.4,4.0908151E7,2.2
경기도,평택시,6.30907447E8,21.4,4.8904652E7,2.6
경기도,동두천시,6.30907447E8,21.4,9775409.0,0.5
경기도,안양시 동안구,6.30907447E8,21.4,4.1383257E7,2.2
경기도,용인시 처인구,6.30907447E8,21.4,4.8938891E7,2.6
경기도,용인시 기흥구,6.30907447E8,21.4,5.9018309E7,3.2
경기도,용인시 수지구,6.30907447E8,21.4,3.4861774E7,1.9
경기도,과천시,6.30907447E8,21.4,2.0476628E7,1.1
경기도,구리시,6.30907447E8,21.4,4.5185437E7,2.4
경기도,남양주시,6.30907447E8,21.4,7.3044933E7,3.9
경기도,오산시,6.30907447E8,21.4,2.8571635E7,1.5
경기도,시흥시,6.30907447E8,21.4,5.3224244E7,2.9
경기도,군포시,6.30907447E8,21.4,2.6288985E7,1.4
경기도,의왕시,6.30907447E8,21.4,2.8876941E7,1.6
경기도,하남시,6.30907447E8,21.4,5.6530305E7,3.1
경기도,파주시,6.30907447E8,21.4,5.3548415E7,2.9
경기도,이천시,6.30907447E8,21.4,3.7679009E7,2.0
경기도,안성시,6.30907447E8,21.4,3.5864168E7,1.9
경기도,김포시,6.30907447E8,21.4,5.1426068E7,2.8
경기도,화성시,6.30907447E8,21.4,1.00148132E8,5.4
경기도,광주시,6.30907447E8,21.4,4.624085E7,2.5
경기도,양주시,6.30907447E8,21.4,3.503534E7,1.9
경기도,포천시,6.30907447E8,21.4,2.8850891E7,1.6
경기도,여주시,6.30907447E8,21.4,2.548991E7,1.4
경기도,연천군,6.30907447E8,21.4,9131426.0,0.5
경기도,가평군,6.30907447E8,21.4,2.6926952E7,1.5
경기도,양평군,6.30907447E8,21.4,3.096485E7,1.7
경상남도,고성군,1.56243587E8,5.3,9727914.0,2.6
경상남도,창원시 의창구,1.56243587E8,5.3,3.3158291E7,8.7
경상남도,창원시 성산구,1.56243587E8,5.3,3.2305674E7,8.5
경상남도,창원시 마산합포구,1.56243587E8,5.3,2.5221913E7,6.6
경상남도,창원시 마산회원구,1.56243587E8,5.3,2.1238994E7,5.6
경상남도,창원시 진해구,1.56243587E8,5.3,1.8407036E7,4.8
경상남도,진주시,1.56243587E8,5.3,2.2648669E7,5.9
경상남도,통영시,1.56243587E8,5.3,1.6133367E7,4.2
경상남도,사천시,1.56243587E8,5.3,1.5819842E7,4.2
경상남도,김해시,1.56243587E8,5.3,4.4244619E7,11.6
경상남도,밀양시,1.56243587E8,5.3,1.5130171E7,4.0
경상남도,거제시,1.56243587E8,5.3,2.3307386E7,6.1
경상남도,양산시,1.56243587E8,5.3,3.3996191E7,8.9
경상남도,의령군,1.56243587E8,5.3,4409480.0,1.2
경상남도,함안군,1.56243587E8,5.3,1.1043245E7,2.9
경상남도,창녕군,1.56243587E8,5.3,9804109.0,2.6
경상남도,남해군,1.56243587E8,5.3,8674176.0,2.3
경상남도,하동군,1.56243587E8,5.3,8246395.0,2.2
경상남도,산청군,1.56243587E8,5.3,7309990.0,1.9
경상남도,함양군,1.56243587E8,5.3,6523263.0,1.7
경상남도,거창군,1.56243587E8,5.3,6584478.0,1.7
경상남도,합천군,1.56243587E8,5.3,6923841.0,1.8
경상북도,경주시,1.80566439E8,6.1,4.7680717E7,14.2
경상북도,김천시,1.80566439E8,6.1,1.3011912E7,3.9
경상북도,안동시,1.80566439E8,6.1,1.7155908E7,5.1
경상북도,구미시,1.80566439E8,6.1,2.6203055E7,7.8
경상북도,영주시,1.80566439E8,6.1,8879060.0,2.6
경상북도,영천시,1.80566439E8,6.1,1.3302034E7,4.0
경상북도,상주시,1.80566439E8,6.1,1.3756837E7,4.1
경상북도,문경시,1.80566439E8,6.1,1.1262707E7,3.4
경상북도,경산시,1.80566439E8,6.1,3.1137364E7,9.3
경상북도,의성군,1.80566439E8,6.1,7246966.0,2.2
경상북도,청송군,1.80566439E8,6.1,5190116.0,1.5
경상북도,영양군,1.80566439E8,6.1,1732258.0,0.5
경상북도,영덕군,1.80566439E8,6.1,1.0508251E7,3.1
경상북도,청도군,1.80566439E8,6.1,1.041966E7,3.1
경상북도,고령군,1.80566439E8,6.1,6176347.0,1.8
경상북도,성주군,1.80566439E8,6.1,7523111.0,2.2
경상북도,칠곡군,1.80566439E8,6.1,2.1760859E7,6.5
경상북도,예천군,1.80566439E8,6.1,6938635.0,2.1
경상북도,봉화군,1.80566439E8,6.1,4576938.0,1.4
경상북도,울진군,1.80566439E8,6.1,8387939.0,2.5
경상북도,울릉군,1.80566439E8,6.1,1755307.0,0.5
경상북도,포항시 남구,1.80566439E8,6.1,3.032502E7,9.0
경상북도,포항시 북구,1.80566439E8,6.1,3.1036337E7,9.2
광주광역시,남구,6.6384309E7,2.3,2.0780704E7,10.6
광주광역시,동구,6.6384309E7,2.3,3.3713829E7,17.1
광주광역시,북구,6.6384309E7,2.3,4.6559341E7,23.7
광주광역시,광산구,6.6384309E7,2.3,4.5041851E7,22.9
광주광역시,서구,6.6384309E7,2.3,5.0708414E7,25.8
대구광역시,군위군,1.02949993E8,3.5,7763227.0,2.1
대구광역시,남구,1.02949993E8,3.5,2.7377839E7,7.5
대구광역시,동구,1.02949993E8,3.5,6.0597992E7,16.7
대구광역시,수성구,1.02949993E8,3.5,4.8476664E7,13.3
대구광역시,달서구,1.02949993E8,3.5,5.4609516E7,15.0
대구광역시,달성군,1.02949993E8,3.5,2.9981004E7,8.2
대구광역시,북구,1.02949993E8,3.5,4.9739258E7,13.7
대구광역시,서구,1.02949993E8,3.5,2.0617022E7,5.7
대구광역시,중구,1.02949993E8,3.5,6.433625E7,17.7
대전광역시,동구,8.2189941E7,2.8,3.6274911E7,16.3
대전광역시,유성구,8.2189941E7,2.8,5.8709411E7,26.5
대전광역시,대덕구,8.2189941E7,2.8,2.5240535E7,11.4
대전광역시,서구,8.2189941E7,2.8,6.0073947E7,27.1
대전광역시,중구,8.2189941E7,2.8,4.1641734E7,18.8
부산광역시,강서구,1.5025493E8,5.1,4.0760359E7,7.1
부산광역시,영도구,1.5025493E8,5.1,1.9315137E7,3.4
부산광역시,부산진구,1.5025493E8,5.1,7.1684957E7,12.5
부산광역시,동래구,1.5025493E8,5.1,3.6821487E7,6.4
부산광역시,해운대구,1.5025493E8,5.1,6.811809E7,11.8
부산광역시,사하구,1.5025493E8,5.1,2.3446051E7,4.1
부산광역시,금정구,1.5025493E8,5.1,2.9729618E7,5.2
부산광역시,남구,1.5025493E8,5.1,3.0251416E7,5.3
부산광역시,연제구,1.5025493E8,5.1,3.0089371E7,5.2
부산광역시,수영구,1.5025493E8,5.1,3.7901264E7,6.6
부산광역시,사상구,1.5025493E8,5.1,2.7759337E7,4.8
부산광역시,기장군,1.5025493E8,5.1,4.1764079E7,7.3
부산광역시,동구,1.5025493E8,5.1,3.3319986E7,5.8
부산광역시,북구,1.5025493E8,5.1,2.388243E7,4.1
부산광역시,서구,1.5025493E8,5.1,2.0451864E7,3.6
부산광역시,중구,1.5025493E8,5.1,4.0400717E7,7.0
서울특별시,종로구,5.9624367E8,20.3,1.38906957E8,6.9
서울특별시,강서구,5.9624367E8,20.3,8.0450663E7,4.0
서울특별시,용산구,5.9624367E8,20.3,1.01449374E8,5.0
서울특별시,성동구,5.9624367E8,20.3,6.2450798E7,3.1
서울특별시,광진구,5.9624367E8,20.3,6.9662032E7,3.4
서울특별시,동대문구,5.9624367E8,20.3,5.5421123E7,2.7
서울특별시,중랑구,5.9624367E8,20.3,3.5912735E7,1.8
서울특별시,성북구,5.9624367E8,20.3,5.0536497E7,2.5
서울특별시,강북구,5.9624367E8,20.3,3.2777823E7,1.6
서울특별시,도봉구,5.9624367E8,20.3,3.0550871E7,1.5
서울특별시,노원구,5.9624367E8,20.3,5.8421701E7,2.9
서울특별시,은평구,5.9624367E8,20.3,3.7840279E7,1.9
서울특별시,서대문구,5.9624367E8,20.3,8.4222992E7,4.2
서울특별시,마포구,5.9624367E8,20.3,1.20753606E8,6.0
서울특별시,양천구,5.9624367E8,20.3,3.7376436E7,1.8
서울특별시,구로구,5.9624367E8,20.3,6.2766196E7,3.1
서울특별시,금천구,5.9624367E8,20.3,2.8944272E7,1.4
서울특별시,영등포구,5.9624367E8,20.3,1.11071145E8,5.5
서울특별시,동작구,5.9624367E8,20.3,5.7808817E7,2.9
서울특별시,관악구,5.9624367E8,20.3,5.8968733E7,2.9
서울특별시,서초구,5.9624367E8,20.3,1.61939586E8,8.0
서울특별시,강남구,5.9624367E8,20.3,2.2202893E8,11.0
서울특별시,송파구,5.9624367E8,20.3,1.2407481E8,6.1
서울특별시,강동구,5.9624367E8,20.3,5.0090395E7,2.5
서울특별시,중구,5.9624367E8,20.3,1.47414247E8,7.3
세종특별자치시,세종특별자치시,2.7456804E7,0.9,3.1135395E7,100.0
울산광역시,남구,4.9391894E7,1.7,4.4305666E7,31.4
울산광역시,동구,4.9391894E7,1.7,1.3604643E7,9.6
울산광역시,북구,4.9391894E7,1.7,2.4116588E7,17.1
울산광역시,울주군,4.9391894E7,1.7,3.4643423E7,24.5
울산광역시,중구,4.9391894E7,1.7,2.4513046E7,17.4
인천광역시,동구,1.80685207E8,6.1,1.0110925E7,2.6
인천광역시,미추홀구,1.80685207E8,6.1,4.4671805E7,11.3
인천광역시,연수구,1.80685207E8,6.1,4.9071475E7,12.4
인천광역시,남동구,1.80685207E8,6.1,5.357636E7,13.6
인천광역시,부평구,1.80685207E8,6.1,4.9108469E7,12.4
인천광역시,계양구,1.80685207E8,6.1,2.7986946E7,7.1
인천광역시,강화군,1.80685207E8,6.1,1.7341136E7,4.4
인천광역시,옹진군,1.80685207E8,6.1,6360942.0,1.6
인천광역시,서구,1.80685207E8,6.1,5.4654174E7,13.9
인천광역시,중구,1.80685207E8,6.1,8.1594574E7,20.7
전라남도,목포시,1.29044324E8,4.4,2.6485898E7,10.3
전라남도,여수시,1.29044324E8,4.4,2.7828682E7,10.8
전라남도,순천시,1.29044324E8,4.4,2.7819973E7,10.8
전라남도,나주시,1.29044324E8,4.4,1.6223032E7,6.3
전라남도,광양시,1.29044324E8,4.4,1.3991498E7,5.5
전라남도,담양군,1.29044324E8,4.4,1.5881785E7,6.2
전라남도,곡성군,1.29044324E8,4.4,5796144.0,2.3
전라남도,구례군,1.29044324E8,4.4,6283655.0,2.4
전라남도,고흥군,1.29044324E8,4.4,6791287.0,2.6
전라남도,보성군,1.29044324E8,4.4,7280191.0,2.8
전라남도,화순군,1.29044324E8,4.4,1.2744944E7,5.0
전라남도,장흥군,1.29044324E8,4.4,5468607.0,2.1
전라남도,강진군,1.29044324E8,4.4,5771833.0,2.2
전라남도,해남군,1.29044324E8,4.4,9226400.0,3.6
전라남도,영암군,1.29044324E8,4.4,1.0498473E7,4.1
전라남도,무안군,1.29044324E8,4.4,1.5479023E7,6.0
전라남도,함평군,1.29044324E8,4.4,6346748.0,2.5
전라남도,영광군,1.29044324E8,4.4,7301084.0,2.8
전라남도,장성군,1.29044324E8,4.4,1.0616324E7,4.1
전라남도,완도군,1.29044324E8,4.4,6200653.0,2.4
전라남도,진도군,1.29044324E8,4.4,5181771.0,2.0
전라남도,신안군,1.29044324E8,4.4,7476963.0,2.9
전북특별자치도,전주시 완산구,9.6406015E7,3.3,4.0108865E7,17.1
전북특별자치도,전주시 덕진구,9.6406015E7,3.3,3.8227385E7,16.3
전북특별자치도,군산시,9.6406015E7,3.3,2.5268714E7,10.8
전북특별자치도,익산시,9.6406015E7,3.3,2.3872722E7,10.2
전북특별자치도,정읍시,9.6406015E7,3.3,1.1393682E7,4.9
전북특별자치도,남원시,9.6406015E7,3.3,1.0465008E7,4.5
전북특별자치도,김제시,9.6406015E7,3.3,1.2219591E7,5.2
전북특별자치도,완주군,9.6406015E7,3.3,2.239672E7,9.6
전북특별자치도,진안군,9.6406015E7,3.3,4809628.0,2.1
전북특별자치도,무주군,9.6406015E7,3.3,8467923.0,3.6
전북특별자치도,장수군,9.6406015E7,3.3,2827808.0,1.2
전북특별자치도,임실군,9.6406015E7,3.3,8526323.0,3.6
전북특별자치도,순창군,9.6406015E7,3.3,5070508.0,2.2
전북특별자치도,고창군,9.6406015E7,3.3,9835894.0,4.2
전북특별자치도,부안군,9.6406015E7,3.3,1.0490292E7,4.5
제주특별자치도,제주시,6.2011555E7,2.1,6.1938459E7,57.3
제주특별자치도,서귀포시,6.2011555E7,2.1,4.6141405E7,42.7
충청남도,공주시,1.65434416E8,5.6,2.603817E7,8.4
충청남도,보령시,1.65434416E8,5.6,1.7917872E7,5.7
충청남도,아산시,1.65434416E8,5.6,3.6712672E7,11.8
충청남도,서산시,1.65434416E8,5.6,1.8564491E7,6.0
충청남도,논산시,1.65434416E8,5.6,1.6584978E7,5.3
충청남도,계룡시,1.65434416E8,5.6,5155113.0,1.7
충청남도,당진시,1.65434416E8,5.6,2.3187167E7,7.4
충청남도,금산군,1.65434416E8,5.6,1.0311288E7,3.3
충청남도,부여군,1.65434416E8,5.6,1.0793178E7,3.5
충청남도,서천군,1.65434416E8,5.6,1.0731964E7,3.4
충청남도,청양군,1.65434416E8,5.6,4924620.0,1.6
충청남도,홍성군,1.65434416E8,5.6,1.2668005E7,4.1
충청남도,예산군,1.65434416E8,5.6,1.5482801E7,5.0
충청남도,태안군,1.65434416E8,5.6,1.7752552E7,5.7
충청남도,천안시 동남구,1.65434416E8,5.6,4.5421557E7,14.6
충청남도,천안시 서북구,1.65434416E8,5.6,3.9410867E7,12.6
충청북도,충주시,1.13073085E8,3.8,2.5990969E7,10.4
충청북도,제천시,1.13073085E8,3.8,1.5523379E7,6.2
충청북도,보은군,1.13073085E8,3.8,6859710.0,2.7
충청북도,옥천군,1.13073085E8,3.8,1.0509395E7,4.2
충청북도,영동군,1.13073085E8,3.8,6768658.0,2.7
충청북도,증평군,1.13073085E8,3.8,5846383.0,2.3
충청북도,진천군,1.13073085E8,3.8,1.2733316E7,5.1
충청북도,괴산군,1.13073085E8,3.8,1.0751174E7,4.3
충청북도,음성군,1.13073085E8,3.8,1.8986326E7,7.6
충청북도,단양군,1.13073085E8,3.8,9433921.0,3.8
충청북도,청주시 상당구,1.13073085E8,3.8,3.0386239E7,12.2
충청북도,청주시 서원구,1.13073085E8,3.8,3.0346686E7,12.1
충청북도,청주시 흥덕구,1.13073085E8,3.8,3.8782215E7,15.5
충청북도,청주시 청원구,1.13073085E8,3.8,2.7091127E7,10.8
