광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,고성군,1.53437477E8,5.5,1.3099862E7,4.8
강원특별자치도,춘천시,1.53437477E8,5.5,3.2411539E7,12.0
강원특별자치도,원주시,1.53437477E8,5.5,3.1609085E7,11.7
강원특별자치도,강릉시,1.53437477E8,5.5,3.5767078E7,13.2
강원특별자치도,동해시,1.53437477E8,5.5,1.2000848E7,4.4
강원특별자치도,태백시,1.53437477E8,5.5,5308348.0,2.0
강원특별자치도,속초시,1.53437477E8,5.5,2.505921E7,9.3
강원특별자치도,삼척시,1.53437477E8,5.5,1.1750987E7,4.3
강원특별자치도,홍천군,1.53437477E8,5.5,1.7464565E7,6.5
강원특별자치도,횡성군,1.53437477E8,5.5,1.2901282E7,4.8
강원특별자치도,영월군,1.53437477E8,5.5,6953188.0,2.6
강원특별자치도,평창군,1.53437477E8,5.5,1.7036535E7,6.3
강원특별자치도,정선군,1.53437477E8,5.5,9003786.0,3.3
강원특별자치도,철원군,1.53437477E8,5.5,7147951.0,2.6
강원특별자치도,화천군,1.53437477E8,5.5,4252198.0,1.6
강원특별자치도,양구군,1.53437477E8,5.5,2857876.0,1.1
강원특별자치도,인제군,1.53437477E8,5.5,9281712.0,3.4
강원특별자치도,양양군,1.53437477E8,5.5,1.6830009E7,6.2
경기도,고양시 덕양구,6.0320442E8,21.5,6.3930884E7,3.5
경기도,고양시 일산동구,6.0320442E8,21.5,6.1140994E7,3.3
경기도,고양시 일산서구,6.0320442E8,21.5,4.2133297E7,2.3
경기도,성남시 수정구,6.0320442E8,21.5,4.027708E7,2.2
경기도,성남시 중원구,6.0320442E8,21.5,2.6446795E7,1.4
경기도,성남시 분당구,6.0320442E8,21.5,8.4911396E7,4.6
경기도,수원시 장안구,6.0320442E8,21.5,3.5341401E7,1.9
경기도,수원시 권선구,6.0320442E8,21.5,4.1308285E7,2.3
경기도,수원시 팔달구,6.0320442E8,21.5,6.2654087E7,3.4
경기도,수원시 영통구,6.0320442E8,21.5,5.5410525E7,3.0
경기도,안산시 상록구,6.0320442E8,21.5,2.7978596E7,1.5
경기도,의정부시,6.0320442E8,21.5,4.1561395E7,2.3
경기도,안산시 단원구,6.0320442E8,21.5,5.0358293E7,2.8
경기도,안양시 만안구,6.0320442E8,21.5,2.9678327E7,1.6
경기도,부천시,6.0320442E8,21.5,6.9965132E7,3.8
경기도,광명시,6.0320442E8,21.5,4.0052856E7,2.2
경기도,평택시,6.0320442E8,21.5,4.7100726E7,2.6
경기도,동두천시,6.0320442E8,21.5,9464987.0,0.5
경기도,안양시 동안구,6.0320442E8,21.5,4.0199649E7,2.2
경기도,용인시 처인구,6.0320442E8,21.5,4.8639142E7,2.7
