광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,고성군,1.11362106E8,7.8,1.0136999E7,6.3
강원특별자치도,춘천시,1.11362106E8,7.8,1.6937978E7,10.5
강원특별자치도,원주시,1.11362106E8,7.8,1.5996124E7,9.9
강원특별자치도,강릉시,1.11362106E8,7.8,2.2195711E7,13.8
강원특별자치도,동해시,1.11362106E8,7.8,5418437.0,3.4
강원특별자치도,태백시,1.11362106E8,7.8,2503613.0,1.6
강원특별자치도,속초시,1.11362106E8,7.8,1.4520076E7,9.0
강원특별자치도,삼척시,1.11362106E8,7.8,7605222.0,4.7
강원특별자치도,홍천군,1.11362106E8,7.8,1.2486648E7,7.7
강원특별자치도,횡성군,1.11362106E8,7.8,7479144.0,4.6
강원특별자치도,영월군,1.11362106E8,7.8,5694492.0,3.5
강원특별자치도,평창군,1.11362106E8,7.8,1.1924685E7,7.4
강원특별자치도,정선군,1.11362106E8,7.8,5798794.0,3.6
강원특별자치도,철원군,1.11362106E8,7.8,3648804.0,2.3
강원특별자치도,화천군,1.11362106E8,7.8,2271585.0,1.4
강원특별자치도,양구군,1.11362106E8,7.8,1721633.0,1.1
강원특별자치도,인제군,1.11362106E8,7.8,4420367.0,2.7
강원특별자치도,양양군,1.11362106E8,7.8,1.0508E7,6.5
경기도,고양시 덕양구,2.5822212E8,18.2,2.8718233E7,3.5
경기도,고양시 일산동구,2.5822212E8,18.2,2.4210076E7,3.0
경기도,고양시 일산서구,2.5822212E8,18.2,1.3170977E7,1.6
경기도,성남시 수정구,2.5822212E8,18.2,1.5058782E7,1.9
경기도,성남시 중원구,2.5822212E8,18.2,1.0770777E7,1.3
경기도,성남시 분당구,2.5822212E8,18.2,3.6781803E7,4.5
경기도,수원시 장안구,2.5822212E8,18.2,1.0986059E7,1.4
경기도,수원시 권선구,2.5822212E8,18.2,1.9317605E7,2.4
경기도,수원시 팔달구,2.5822212E8,18.2,2.2725021E7,2.8
경기도,수원시 영통구,2.5822212E8,18.2,2.2228749E7,2.7
경기도,안산시 상록구,2.5822212E8,18.2,1.2011273E7,1.5
경기도,의정부시,2.5822212E8,18.2,1.8698179E7,2.3
경기도,안산시 단원구,2.5822212E8,18.2,2.3108286E7,2.8
경기도,안양시 만안구,2.5822212E8,18.2,1.3493462E7,1.7
경기도,부천시,2.5822212E8,18.2,3.0960728E7,3.8
경기도,광명시,2.5822212E8,18.2,1.6540972E7,2.0
경기도,평택시,2.5822212E8,18.2,2.2128476E7,2.7
경기도,동두천시,2.5822212E8,18.2,4437967.0,0.5
경기도,안양시 동안구,2.5822212E8,18.2,1.8980538E7,2.3
경기도,용인시 처인구,2.5822212E8,18.2,2.5928588E7,3.2
경기도,용인시 기흥구,2.5822212E8,18.2,2.6201385E7,3.2
경기도,용인시 수지구,2.5822212E8,18.2,1.4683058E7,1.8
경기도,과천시,2.5822212E8,18.2,7963220.0,1.0
경기도,구리시,2.5822212E8,18.2,1.2920582E7,1.6
경기도,남양주시,2.5822212E8,18.2,3.0424951E7,3.7
경기도,오산시,2.5822212E8,18.2,1.0475157E7,1.3
경기도,시흥시,2.5822212E8,18.2,2.7184381E7,3.3
경기도,군포시,2.5822212E8,18.2,1.175866E7,1.4
경기도,의왕시,2.5822212E8,18.2,1.1881045E7,1.5
경기도,하남시,2.5822212E8,18.2,2.2175519E7,2.7
경기도,파주시,2.5822212E8,18.2,3.0019937E7,3.7
경기도,이천시,2.5822212E8,18.2,1.650187E7,2.0
경기도,안성시,2.5822212E8,18.2,1.5309663E7,1.9
경기도,김포시,2.5822212E8,18.2,2.4707357E7,3.0
경기도,화성시,2.5822212E8,18.2,4.6562921E7,5.7
경기도,광주시,2.5822212E8,18.2,2.2133094E7,2.7
경기도,양주시,2.5822212E8,18.2,1.5886442E7,2.0
경기도,포천시,2.5822212E8,18.2,1.9461182E7,2.4
경기도,여주시,2.5822212E8,18.2,1.4697531E7,1.8
경기도,연천군,2.5822212E8,18.2,5384027.0,0.7
경기도,가평군,2.5822212E8,18.2,1.8484939E7,2.3
경기도,양평군,2.5822212E8,18.2,1.6489214E7,2.0
경상남도,고성군,9.3409087E7,6.6,6648466.0,3.1
경상남도,창원시 의창구,9.3409087E7,6.6,1.5400922E7,7.1
경상남도,창원시 성산구,9.3409087E7,6.6,1.4047714E7,6.5
경상남도,창원시 마산합포구,9.3409087E7,6.6,1.2668273E7,5.9
경상남도,창원시 마산회원구,9.3409087E7,6.6,9969958.0,4.6
경상남도,창원시 진해구,9.3409087E7,6.6,9542141.0,4.4
경상남도,진주시,9.3409087E7,6.6,1.242127E7,5.7
경상남도,통영시,9.3409087E7,6.6,1.1465989E7,5.3
경상남도,사천시,9.3409087E7,6.6,8980232.0,4.2
경상남도,김해시,9.3409087E7,6.6,2.2239667E7,10.3
경상남도,밀양시,9.3409087E7,6.6,1.0472674E7,4.8
경상남도,거제시,9.3409087E7,6.6,1.4584583E7,6.8
경상남도,양산시,9.3409087E7,6.6,1.926861E7,8.9
경상남도,의령군,9.3409087E7,6.6,3003894.0,1.4
경상남도,함안군,9.3409087E7,6.6,5845902.0,2.7
경상남도,창녕군,9.3409087E7,6.6,6971438.0,3.2
경상남도,남해군,9.3409087E7,6.6,7445493.0,3.4
경상남도,하동군,9.3409087E7,6.6,5350944.0,2.5
경상남도,산청군,9.3409087E7,6.6,5858583.0,2.7
경상남도,함양군,9.3409087E7,6.6,3898931.0,1.8
경상남도,거창군,9.3409087E7,6.6,4191087.0,1.9
경상남도,합천군,9.3409087E7,6.6,5783851.0,2.7
경상북도,경주시,1.15040045E8,8.1,3.2430734E7,16.5
경상북도,김천시,1.15040045E8,8.1,8068585.0,4.1
경상북도,안동시,1.15040045E8,8.1,9601642.0,4.9
경상북도,구미시,1.15040045E8,8.1,1.2791027E7,6.5
경상북도,영주시,1.15040045E8,8.1,5284123.0,2.7
경상북도,영천시,1.15040045E8,8.1,8464953.0,4.3
경상북도,상주시,1.15040045E8,8.1,7205624.0,3.7
경상북도,문경시,1.15040045E8,8.1,6262304.0,3.2
경상북도,경산시,1.15040045E8,8.1,1.597389E7,8.1
경상북도,의성군,1.15040045E8,8.1,4954241.0,2.5
경상북도,청송군,1.15040045E8,8.1,3360477.0,1.7
경상북도,영양군,1.15040045E8,8.1,1323325.0,0.7
경상북도,영덕군,1.15040045E8,8.1,7061060.0,3.6
경상북도,청도군,1.15040045E8,8.1,8412939.0,4.3
경상북도,고령군,1.15040045E8,8.1,3999777.0,2.0
경상북도,성주군,1.15040045E8,8.1,5419536.0,2.8
경상북도,칠곡군,1.15040045E8,8.1,1.0823865E7,5.5
