광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,고성군,1.31836554E8,7.5,1.1177241E7,5.8
강원특별자치도,춘천시,1.31836554E8,7.5,2.0466089E7,10.6
강원특별자치도,원주시,1.31836554E8,7.5,1.9748464E7,10.2
강원특별자치도,강릉시,1.31836554E8,7.5,2.5723551E7,13.3
강원특별자치도,동해시,1.31836554E8,7.5,6984005.0,3.6
강원특별자치도,태백시,1.31836554E8,7.5,3255644.0,1.7
강원특별자치도,속초시,1.31836554E8,7.5,1.9185146E7,9.9
강원특별자치도,삼척시,1.31836554E8,7.5,8791168.0,4.5
강원특별자치도,홍천군,1.31836554E8,7.5,1.4437914E7,7.5
강원특별자치도,횡성군,1.31836554E8,7.5,8444135.0,4.4
강원특별자치도,영월군,1.31836554E8,7.5,6013487.0,3.1
강원특별자치도,평창군,1.31836554E8,7.5,1.4165018E7,7.3
강원특별자치도,정선군,1.31836554E8,7.5,8955600.0,4.6
강원특별자치도,철원군,1.31836554E8,7.5,4789489.0,2.5
강원특별자치도,화천군,1.31836554E8,7.5,2684865.0,1.4
강원특별자치도,양구군,1.31836554E8,7.5,1920443.0,1.0
강원특별자치도,인제군,1.31836554E8,7.5,5012195.0,2.6
강원특별자치도,양양군,1.31836554E8,7.5,1.1643062E7,6.0
경기도,고양시 덕양구,3.15995933E8,17.9,3.4611887E7,3.6
경기도,고양시 일산동구,3.15995933E8,17.9,2.9371619E7,3.0
경기도,고양시 일산서구,3.15995933E8,17.9,1.6644219E7,1.7
경기도,성남시 수정구,3.15995933E8,17.9,1.8043647E7,1.9
경기도,성남시 중원구,3.15995933E8,17.9,1.311784E7,1.4
경기도,성남시 분당구,3.15995933E8,17.9,4.364428E7,4.5
경기도,수원시 장안구,3.15995933E8,17.9,1.4505135E7,1.5
경기도,수원시 권선구,3.15995933E8,17.9,2.3031656E7,2.4
경기도,수원시 팔달구,3.15995933E8,17.9,3.0567436E7,3.2
경기도,수원시 영통구,3.15995933E8,17.9,2.70909E7,2.8
경기도,안산시 상록구,3.15995933E8,17.9,1.3657002E7,1.4
경기도,의정부시,3.15995933E8,17.9,2.2563282E7,2.3
경기도,안산시 단원구,3.15995933E8,17.9,2.9473596E7,3.0
경기도,안양시 만안구,3.15995933E8,17.9,1.4844677E7,1.5
경기도,부천시,3.15995933E8,17.9,3.7914757E7,3.9
경기도,광명시,3.15995933E8,17.9,2.1129128E7,2.2
경기도,평택시,3.15995933E8,17.9,2.6736732E7,2.8
경기도,동두천시,3.15995933E8,17.9,5350173.0,0.6
경기도,안양시 동안구,3.15995933E8,17.9,2.3508384E7,2.4
경기도,용인시 처인구,3.15995933E8,17.9,3.3719263E7,3.5
경기도,용인시 기흥구,3.15995933E8,17.9,3.0035249E7,3.1
경기도,용인시 수지구,3.15995933E8,17.9,1.684657E7,1.7
경기도,과천시,3.15995933E8,17.9,1.2323787E7,1.3
경기도,구리시,3.15995933E8,17.9,1.3136502E7,1.4
경기도,남양주시,3.15995933E8,17.9,3.5466594E7,3.7
경기도,오산시,3.15995933E8,17.9,1.2050661E7,1.2
경기도,시흥시,3.15995933E8,17.9,3.0942246E7,3.2
경기도,군포시,3.15995933E8,17.9,1.3247063E7,1.4
경기도,의왕시,3.15995933E8,17.9,1.4057621E7,1.5
경기도,하남시,3.15995933E8,17.9,2.7738989E7,2.9
경기도,파주시,3.15995933E8,17.9,3.3266376E7,3.4
경기도,이천시,3.15995933E8,17.9,1.8960555E7,2.0
경기도,안성시,3.15995933E8,17.9,1.8987462E7,2.0
경기도,김포시,3.15995933E8,17.9,2.8354932E7,2.9
경기도,화성시,3.15995933E8,17.9,5.4776376E7,5.7
경기도,광주시,3.15995933E8,17.9,2.444573E7,2.5
경기도,양주시,3.15995933E8,17.9,1.9727964E7,2.0
경기도,포천시,3.15995933E8,17.9,2.1569125E7,2.2
경기도,여주시,3.15995933E8,17.9,1.57653E7,1.6
경기도,연천군,3.15995933E8,17.9,6028967.0,0.6
경기도,가평군,3.15995933E8,17.9,2.2302779E7,2.3
경기도,양평군,3.15995933E8,17.9,1.7851954E7,1.8
경상남도,고성군,1.08956647E8,6.2,6973702.0,2.8
경상남도,창원시 의창구,1.08956647E8,6.2,1.8835973E7,7.4
경상남도,창원시 성산구,1.08956647E8,6.2,1.7324969E7,6.8
경상남도,창원시 마산합포구,1.08956647E8,6.2,1.4958937E7,5.9
경상남도,창원시 마산회원구,1.08956647E8,6.2,1.2054621E7,4.8
경상남도,창원시 진해구,1.08956647E8,6.2,1.13577E7,4.5
경상남도,진주시,1.08956647E8,6.2,1.6184079E7,6.4
경상남도,통영시,1.08956647E8,6.2,1.2928489E7,5.1
경상남도,사천시,1.08956647E8,6.2,1.1099833E7,4.4
경상남도,김해시,1.08956647E8,6.2,2.7450813E7,10.8
경상남도,밀양시,1.08956647E8,6.2,1.1607368E7,4.6
경상남도,거제시,1.08956647E8,6.2,1.7119938E7,6.8
경상남도,양산시,1.08956647E8,6.2,2.1728316E7,8.6
경상남도,의령군,1.08956647E8,6.2,3362825.0,1.3
경상남도,함안군,1.08956647E8,6.2,6546407.0,2.6
경상남도,창녕군,1.08956647E8,6.2,7582809.0,3.0
경상남도,남해군,1.08956647E8,6.2,7931808.0,3.1
경상남도,하동군,1.08956647E8,6.2,5858756.0,2.3
경상남도,산청군,1.08956647E8,6.2,6760329.0,2.7
경상남도,함양군,1.08956647E8,6.2,4251376.0,1.7
경상남도,거창군,1.08956647E8,6.2,5051912.0,2.0
경상남도,합천군,1.08956647E8,6.2,6164310.0,2.4
경상북도,경주시,1.32840118E8,7.5,3.9968231E7,17.5
경상북도,김천시,1.32840118E8,7.5,9519162.0,4.2
경상북도,안동시,1.32840118E8,7.5,1.1594099E7,5.1
경상북도,구미시,1.32840118E8,7.5,1.5421694E7,6.7
경상북도,영주시,1.32840118E8,7.5,6201777.0,2.7
경상북도,영천시,1.32840118E8,7.5,9552810.0,4.2
경상북도,상주시,1.32840118E8,7.5,8311415.0,3.6
경상북도,문경시,1.32840118E8,7.5,7602703.0,3.3
경상북도,경산시,1.32840118E8,7.5,1.7777024E7,7.8
경상북도,의성군,1.32840118E8,7.5,5006425.0,2.2
경상북도,청송군,1.32840118E8,7.5,3615619.0,1.6
경상북도,영양군,1.32840118E8,7.5,1412195.0,0.6
경상북도,영덕군,1.32840118E8,7.5,7788003.0,3.4
경상북도,청도군,1.32840118E8,7.5,9415547.0,4.1
경상북도,고령군,1.32840118E8,7.5,4128716.0,1.8
